PAS_NUMBR	PAS_ALTXT	PAS_ALVAL
ENKT0020	HkSid1	1
ENKT0020	HkSidFdir	2
ENKT0020	HkSidMtl	3
ENKT0020	HkSidFileSystem	4
ENKT0021	TmCntApidTime	162
ENKT0021	TmCoApMiObAPu	163
ENKT0021	TmCoApMiObBPu	164
ENKT0021	TmCoApGnObAPu	165
ENKT0021	TmCoApGnObBPu	166
ENKT0021	TmCntApidWacAPus	167
ENKT0021	TmCntApidWacBPus	168
ENKT0021	TmCntApidNacAPus	169
ENKT0021	TmCntApidNacBPus	170
ENKT0021	TmCntApidNacCPus	171
ENKT0021	TmCoApMiObAPd	172
ENKT0021	TmCoApMiObBPd	173
ENKT0021	TmCoApGnObAPd	174
ENKT0021	TmCoApGnObBPd	175
ENKT0021	TmCntDiscarded	176
ENKT0021	TcCoSuAcApTi	1
ENKT0021	TcCoFaAcApTi	2
ENKT0021	TcCoSuStExApTi	3
ENKT0021	TcCoFaStExApTi	4
ENKT0021	TcCoSuCoExApTi	5
ENKT0021	TcCoFaCoExApTi	6
ENKT0021	TcCounterSucce	7
ENKT0021	TcCounterFaile	8
ENKT0021	TcCounterSucce	9
ENKT0021	TcCounterFaile	10
ENKT0021	TcCounterSucce	11
ENKT0021	TcCounterFaile	12
ENKT0021	TcCounterSucce	13
ENKT0021	TcCounterFaile	14
ENKT0021	TcCounterSucce	15
ENKT0021	TcCounterFaile	16
ENKT0021	TcCounterSucce	17
ENKT0021	TcCounterFaile	18
ENKT0021	TcCounterForwa	150
ENKT0021	TcCounterForwa	151
ENKT0021	TcCoFoApWaAPu	152
ENKT0021	TcCoFoApWaBPu	153
ENKT0021	TcCoFoApNaAPu	154
ENKT0021	TcCoFoApNaBPu	155
ENKT0021	TcCoFoApNaCPu	156
ENKT0021	TcCounterForwa	159
ENKT0021	TcCounterForwa	160
ENKT0021	TcCntDiscarded	85
ENKT0021	DetInfEvRepCnt	86
ENKT0021	DetLowEvRepCnt	87
ENKT0021	DetMedEvRepCnt	88
ENKT0021	DetHiEvRepCnt	89
ENKT0021	GenInfEvRepCnt	90
ENKT0021	GenLowEvRepCnt	91
ENKT0021	GenMedEvRepCnt	92
ENKT0021	GenHiEvRepCnt	93
ENKT0021	LaGeInEvReId	94
ENKT0021	LaGeLoEvReId	95
ENKT0021	LaGeMeEvReId	96
ENKT0021	LastGenHiEvRepId	97
ENKT0021	LaGeInEvReTi	98
ENKT0021	LaGeLoEvReTi	99
ENKT0021	LaGeMeEvReTi	100
ENKT0021	LaGeHiEvReTi	101
ENKT0021	DisInfEvDefsCnt	102
ENKT0021	DisLowEvDefsCnt	103
ENKT0021	DisMedEvDefsCnt	104
ENKT0021	DisHiEvDefsCnt	105
ENKT0021	MaxTransRepDelay	106
ENKT0021	NbPmonsTriggered	107
ENKT0021	NbPmonsEnabled	108
ENKT0021	NbAvEnPmLi	109
