CCF_CNAME	CCF_DESCR	CCF_DESCR2	CCF_CRITICAL	CCF_PKTID	CCF_TYPE	CCF_STYPE	CCF_APID	CCF_NPARS	CCF_PLAN	CCF_EXEC	CCF_ILSCOPE	CCF_ILSTAGE	CCF_SUBSYS	CCF_HIPRI	CCF_ACK
ENC45113	TmtcCanMessages	The device access subservice supports the capability to distribu	N	NOM_TC	2	128	10	1	A	Y	N	C	140	N	0
ENC45114	CanopenMessages	The device access subservice supports the capability to distribu	N	NOM_TC	2	130	10	1	A	Y	N	C	140	N	0
ENC45115	EthernetMessages	The device access subservice supports the capability to distribu	N	NOM_TC	2	132	10	1	A	Y	N	C	140	N	0
ENC45005	CreateHkSid	Telecommand that creates a housekeeping parameter report structu	N	NOM_TC	3	1	10	8	A	Y	N	C	140	N	0
ENC45006	DeleteHkSid	Telecommand that deletes a housekeeping parameter report structu	N	NOM_TC	3	3	10	2	A	Y	N	C	140	N	0
ENC45007	EnPeriodicGenRepHkSid	Telecommand that enables the periodic generation of housekeeping	N	NOM_TC	3	5	10	2	A	Y	N	C	140	N	0
ENC45008	DisPeriodicGenRepHkSid	Telecommand that disables the periodic generation of housekeepin	N	NOM_TC	3	6	10	2	A	Y	N	C	140	N	0
ENC45009	ReportHkSid	Telecommand that requests a report of housekeeping parameter rep	N	NOM_TC	3	9	10	2	A	Y	N	C	140	N	0
ENC45010	EnableReportGenEventId	Represents the enable of the report generation of event definiti	N	NOM_TC	5	5	10	2	A	Y	N	C	140	N	0
ENC45011	DisableReportGenEventId	Represents the disable of the report generation of event definit	N	NOM_TC	5	6	10	2	A	Y	N	C	140	N	0
ENC45012	ResetEventCounters	Sets the event counters to 0	N	NOM_TC	5	128	10	0	A	Y	N	C	140	N	0
ENC45013	LoadRawMemoryDataAreas	The raw data memory management subservice supports the capabilit	N	NOM_TC	6	2	10	6	A	Y	N	C	140	N	0
ENC45014	DumpRawMemoryData	The raw data memory management subservice supports the capabilit	N	NOM_TC	6	5	10	4	A	Y	N	C	140	N	0
ENC45015	CheckRawMemoryData	The raw data memory management subservice supports the capabilit	N	NOM_TC	6	9	10	4	A	Y	N	C	140	N	0
ENC45016	AbortAllMemoryDumps	Represents the capability of raw data memory management subservi	N	NOM_TC	6	12	10	0	A	Y	N	C	140	N	0
ENC45017	EnableScrubbingMemory	Represents the capability of memory configuration subservice for	N	NOM_TC	6	13	10	1	A	Y	N	C	140	N	0
ENC45018	DisableScrubbingMemory	Represents the capability of memory configuration subservice for	N	NOM_TC	6	14	10	1	A	Y	N	C	140	N	0
ENC45019	LoRaMeDaArByRe	The raw data memory management subservice supports the capabilit	N	NOM_TC	6	19	10	7	A	Y	N	C	140	N	0
ENC45020	DumpRawMemoryDataToFile	The raw data memory management subservice supports the capabilit	N	NOM_TC	6	20	10	6	A	Y	N	C	140	N	0
ENC45022	SetObtAbsoluteValue	set the on-board time with absolute value	N	NOM_TC	9	128	10	1	A	Y	N	C	140	N	0
ENC45023	SetObtRelativeValue	set the on-board time with relative value	N	NOM_TC	9	129	10	1	A	Y	N	C	140	N	0
ENC45024	EnTiBaScExFu	Represents the capability of time-based scheduling subservicefor	N	NOM_TC	11	1	10	0	A	Y	N	C	140	N	0
ENC45025	DiTiBaScExFu	Represents the capability of time-based scheduling subservicefor	N	NOM_TC	11	2	10	0	A	Y	N	C	140	N	0
ENC45026	ReTiBaScExFu	Represents the capability of time-based scheduling subservice fo	N	NOM_TC	11	3	10	0	A	Y	N	C	140	N	0
ENC45027	InAcTiBaSc	Represents the capability of time-based scheduling subservice fo	N	NOM_TC	11	4	10	4	A	Y	N	C	140	N	0
ENC45028	DeTiBaScAcByReId	Represents the capability of time-based scheduling subservice fo	N	NOM_TC	11	5	10	6	A	Y	N	C	140	N	0
ENC45029	TiShScAcByReId	Represents the capability of time-based scheduling subservice fo	N	NOM_TC	11	7	10	7	A	Y	N	C	140	N	0
