"strID","EN","RU","DE","ES","FR"
"strInvalidSrcFld","Invalid source folder!","Неверная папка-источник файлов!","Ungültiger Quellordner!","Carpeta de origen no válida!","Dossier source invalide!"
"strInvalidCheckFn","Invalid name of check file! File not exist!","Недопустимое имя файла для проверки! Файл не существует!","Ungültiger Dateiname zum Überprüfen! Die Datei existiert nicht!","Nombre de archivo no válido para verificar! El archivo no existe!","Nom de fichier invalide à vérifier! Fichier ne existe pas!"
strFileModified,Attention! The file has been modified.,"Внимание! Файл был изменен.","Aufmerksamkeit! Die Datei wurde geändert.","Atención! El archivo ha sido modificado.","Attention! Le fichier a été modifié."
"strCheckingStarted","Checking files by their checksums has begun!","Проверка файлов по их контрольным суммам начата!","Das Überprüfen von Dateien anhand ihrer Prüfsummen hat begonnen!","Comenzó la verificación de archivos por sus sumas de verificación!","La vérification des fichiers par leurs sommes de contrôle a commencé!"
"strDescription","Utility for calculating checksums of files in a specified folder.","Утилита для расчета контрольных сумм файлов в указанной папке.","Dienstprogramm zum Berechnen von Prüfsummen von Dateien in einem bestimmten Ordner.","Utilidad para calcular sumas de verificación de archivos en una carpeta específica.","Utilitaire pour calculer les sommes de contrôle des fichiers dans un dossier spécifié."
"strEpilog","If the source folder is not specified, the current working directory is used as the source folder!","Если папка-источник не указана, в ее качестве используется текущий рабочий каталог!","Wird der Quellordner nicht angegeben, wird das aktuelle Arbeitsverzeichnis als Quellordner verwendet!","Si no se especifica la carpeta de origen, el directorio de trabajo actual se utiliza como carpeta de origen.","Si le dossier source n'est pas spécifié, le répertoire de travail actuel est utilisé comme dossier source!"
"strArgCheckFile","Name of the file containing checksums to check files.","Имя исходного файла контрольных сумм для проверки файлов.","Name der Datei, die Prüfsummen enthält, um Dateien zu prüfen.","Nombre del archivo que contiene sumas de verificación para verificar archivos.","Nom du fichier contenant les sommes de contrôle pour vérifier les fichiers."
"strArgSrc","Folder in which checksums of files are calculated.","Папка, в которой вычисляются контрольные суммы файлов.","Ordner, in dem Prüfsummen von Dateien berechnet werden.","Carpeta en la que se calculan las sumas de comprobación de los archivos.","Dossier dans lequel les sommes de contrôle des fichiers sont calculées."
"strArgAlg","Algorithm for calculating the checksum. For example: MD5, SHA1, SHA224, SHA256, SHA384, SHA512. Default value: md5","Алгоритм вычисления контрольной суммы. Например: MD5, SHA1, SHA224, SHA256, SHA384, SHA512. Значение по умолчанию: md5","Algorithmus zur Berechnung der Prüfsumme. Zum Beispiel: MD5, SHA1, SHA224, SHA256, SHA384, SHA512. Standardwert: md5","Algoritmo para calcular el checksum. Por ejemplo: MD5, SHA1, SHA224, SHA256, SHA384, SHA512. Valor por defecto: md5","Algorithme de calcul de la somme de contrôle. Par exemple : MD5, SHA1, SHA224, SHA256, SHA384, SHA512. Valeur par défaut : md5"
"strArgExt","Pattern string for filename matching check! Filters out files subject to checksum calculation. For example: ""*.zip,*.rar,*.txt""","Строка шаблона для проверки соответствия имени файла! Отфильтровывает файлы, подлежащие вычислению контрольной суммы. Например: ""*.zip,*.rar,*.txt""","Musterzeichenfolge für Dateinamenübereinstimmungsprüfung! Filtert Dateien heraus, die der Prüfsummenberechnung unterliegen. Zum Beispiel: „*.zip,*.rar,*.txt“","Cadena de patrón para verificación de coincidencia de nombre de archivo! Filtra los archivos sujetos al cálculo de la suma de comprobación. Por ejemplo: ""*.zip,*.rar,*.txt""","Chaîne de modèle pour la vérification de la correspondance des noms de fichiers! Filtre les fichiers soumis au calcul de la somme de contrôle. Par exemple: ""*.zip,*.rar,*.txt"""
"strCheckingSpeed",File scan speed [MiB/s],"Скорость проверки файлов [MiB/с]",Dateiscangeschwindigkeit [MiB/s],"Velocidad de escaneo de archivos [MiB/s]","Vitesse d'analyse des fichiers [MiB/s]"
"strTotalFilesChecked","Total files checked","Всего файлов проверено","Gesamtzahl der überprüften Dateien","Total de archivos revisados","Nombre total de fichiers vérifiés"
"strTotalFilesMod","Number of modified files","Кол-во измененных файлов","Anzahl geänderter Dateien","Número de archivos modificados","Nombre de fichiers modifiés"
"strIOErrors","Number of I/O errors","Кол-во ошибок ввода/вывода","Anzahl I/O-Fehler","Número de errores de E/S","Nombre d'erreurs d'E/S"
"strProcSpeed","Processing speed [MiB/s]","Скорость обработки [МиБ/с]","Verarbeitungsgeschwindigkeit [MiB/s]","Velocidad de procesamiento [MiB/s]","Vitesse de traitement [Mio/s]"
"strEnded","Work completed","Работа завершена","Arbeit abgeschlossen","Trabajo completado","Travaux achevés"
"strFiles","Number of files","Кол-во файлов","Anzahl Dateien","Número de archivos",Nombre de fichiers
"strBytesProcessed","Bytes processed","Байтов обработано","Verarbeitete Bytes","Bytes procesados","Octets traités"
"strInvalidInputParameter","Invalid input parameter","Неверный входной параметр","Ungültiger Eingabeparameter","Parámetro de entrada no válido","Paramètre d'entrée invalide"
"strInvalidCrcValue","The file is damaged! Invalid CRC value! Read from file","Файл поврежден! Недопустимое значение CRC! Считано из файла","Die Datei ist beschädigt! Ungültiger CRC-Wert! Aus Datei lesen","El archivo está dañado! ¡Valor CRC no válido! Leer del archivo","Le fichier est endommagé ! Valeur CRC invalide! Lire à partir du fichier"
